List Price,Sale Price,Brand,category_level1,ecomm_id
9.78,9.78,Business Essentials,Office,397
26.69,26.69,Business Essentials,Office,398
33.79,33.79,Business Essentials,Office,400
32.22,32.22,Business Essentials,Office,402
57.05,57.05,Business Essentials,Office,403
35.34,35.34,Business Essentials,Office,405
24.72,24.72,Business Essentials,Office,407
35.29,35.29,Business Essentials,Office,410
30.8,30.8,Business Essentials,Office,411
28.44,28.44,Business Essentials,Office,413
31.34,31.34,Business Essentials,Office,414
22.66,22.66,Business Essentials,Office,416
29.84,29.84,Business Essentials,Office,417
19.84,19.84,Business Essentials,Office,420
78.48,78.48,Business Essentials,Office,421
75.1,75.1,Business Essentials,Office,423
51.6,51.6,Business Essentials,Office,424
22.69,22.69,Business Essentials,Office,425
38.38,38.38,Business Essentials,Office,427
54.26,54.26,Business Essentials,Office,428
32.51,32.51,Business Essentials,Office,430
28.18,28.18,Business Essentials,Office,436
25.31,25.31,Business Essentials,Office,442
22.49,22.49,Business Essentials,Office,443
46.82,46.82,Business Essentials,Office,444
60.41,60.41,Business Essentials,Office,445
32.21,32.21,Business Essentials,Office,446
50.98,50.98,Business Essentials,Office,449
30.71,30.71,Business Essentials,Office,450
24.34,24.34,Business Essentials,Office,451
11.9,11.9,Business Essentials,Office,452
33.2,33.2,Business Essentials,Office,453
52.68,52.68,Business Essentials,Office,454
60.06,60.06,Business Essentials,Office,455
37.97,37.97,Business Essentials,Office,456
28.54,28.54,Business Essentials,Office,457
33.19,33.19,Business Essentials,Office,461
40.03,40.03,Business Essentials,Office,462
46.78,46.78,Business Essentials,Office,463
76.21,76.21,Business Essentials,Office,466
48.41,48.41,Business Essentials,Office,467
40.75,40.75,Business Essentials,Office,468
34.01,34.01,Business Essentials,Office,469
28.08,28.08,Business Essentials,Office,470
45.06,45.06,Business Essentials,Office,473
36.83,36.83,Business Essentials,Office,475
30.35,30.35,Business Essentials,Office,476
25.85,25.85,Business Essentials,Office,477
21.24,21.24,Business Essentials,Office,478
24.42,24.42,Business Essentials,Office,481
48.02,48.02,Business Essentials,Office,484
36.55,36.55,Business Essentials,Office,485
13.43,13.43,Business Essentials,Office,486
10.4,10.4,Business Essentials,Office,487
30.06,30.06,Business Essentials,Office,490
33.65,33.65,Business Essentials,Office,491
67.33,67.33,Business Essentials,Office,494
34.63,34.63,Business Essentials,Office,495
21.38,21.38,Business Essentials,Office,498
41.11,41.11,Business Essentials,Office,499
48.58,48.58,Business Essentials,Office,500
27.68,27.68,Business Essentials,Office,502
30.62,30.62,Business Essentials,Office,503
34.07,34.07,Business Essentials,Office,506
41.96,41.96,Business Essentials,Office,507
75.55,75.55,Business Essentials,Office,508
40.03,40.03,Business Essentials,Office,509
37.66,37.66,Business Essentials,Office,510
26.42,26.42,Business Essentials,Office,513
42.0,42.0,Business Essentials,Office,515
47.44,47.44,Business Essentials,Office,517
